date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:17	228/228	---MCZ	200	added ('OK')	text/plain	date:Mon,%2016%20Sep%202024%2005:26:19%20GMT	https://www.captalopharma.co.in/robots.txt		(from )
10:56:18	224964/224964	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:26:19%20GMT	https://www.captalopharma.co.in/	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/index.html	(from )
10:56:19	21274/21274	---MCZ	200	added ('OK')	text/css	date:Wed,%2017%20Aug%202022%2011:26:54%20GMT	https://st.tistatic.com/ver9413/css/tradeindia/design2017/intlTelInput.css	C:/Users/shiva/Desktop/paarajlife/st.tistatic.com/ver9413/css/tradeindia/design2017/intlTelInput.css	(from https://www.captalopharma.co.in/)
10:56:19	7712/7712	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20Aug%202022%2011:26:55%20GMT	https://st.tistatic.com/ver9413/js/mobile_site/search.js	C:/Users/shiva/Desktop/paarajlife/st.tistatic.com/ver9413/js/mobile_site/search.js	(from https://www.captalopharma.co.in/)
10:56:19	210902/210902	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20Aug%202022%2011:26:55%20GMT	https://st.tistatic.com/ver9413/js/utils/jquery-ui/js/jquery_ui_main.js	C:/Users/shiva/Desktop/paarajlife/st.tistatic.com/ver9413/js/utils/jquery-ui/js/jquery_ui_main.js	(from https://www.captalopharma.co.in/)
10:56:19	31286/31286	---MCZ	200	added ('OK')	text/css	date:Wed,%2017%20Aug%202022%2011:26:54%20GMT	https://st.tistatic.com/ver9413/bower_components/jquery-ui/themes/smoothness/jquery-ui.min.css	C:/Users/shiva/Desktop/paarajlife/st.tistatic.com/ver9413/bower_components/jquery-ui/themes/smoothness/jquery-ui.min.css	(from https://www.captalopharma.co.in/)
10:56:19	41330/41330	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20Aug%202022%2011:26:55%20GMT	https://st.tistatic.com/ver9413/js/catalog/slick.min.js	C:/Users/shiva/Desktop/paarajlife/st.tistatic.com/ver9413/js/catalog/slick.min.js	(from https://www.captalopharma.co.in/)
10:56:20	1776/1776	---MCZ	200	added ('OK')	text/css	date:Wed,%2017%20Aug%202022%2011:26:54%20GMT	https://st.tistatic.com/ver9413/css/catalog/slick.css	C:/Users/shiva/Desktop/paarajlife/st.tistatic.com/ver9413/css/catalog/slick.css	(from https://www.captalopharma.co.in/)
10:56:20	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/shiva/Desktop/paarajlife/www.google-analytics.com/analytics.js	(from https://www.captalopharma.co.in/)
10:56:23	193280/193280	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Sep%202024%2005:26:24%20GMT	https://www.captalopharma.co.in/Trident/	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/Trident/index.html	(from https://www.captalopharma.co.in/)
10:56:23	193271/193271	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Sep%202024%2005:26:25%20GMT	https://www.captalopharma.co.in/theme1/lang-arrow.png	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/theme1/lang-arrow.7.delayed	(from https://www.captalopharma.co.in/)
10:56:25	193271/193271	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Sep%202024%2005:26:27%20GMT	https://www.captalopharma.co.in/theme1/nav-divider.png	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/theme1/nav-divider.8.delayed	(from https://www.captalopharma.co.in/)
10:56:31	193271/193271	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Sep%202024%2005:26:33%20GMT	https://www.captalopharma.co.in/theme1/go.png	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/theme1/go.9.delayed	(from https://www.captalopharma.co.in/)
10:56:36	193271/193271	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Sep%202024%2005:26:38%20GMT	https://www.captalopharma.co.in/theme1/cross-btn.png	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/theme1/cross-btn.a.delayed	(from https://www.captalopharma.co.in/)
10:56:37	109/109	---M--	200	added ('OK')	image/png	etag:%22e38c447b527842b98d64095c1a98afa9%22	https://tiimg.tistatic.com/catalogs/template108581/cate-icon.png	C:/Users/shiva/Desktop/paarajlife/tiimg.tistatic.com/catalogs/template108581/cate-icon.png	(from https://www.captalopharma.co.in/)
10:56:37	329/329	---M--	200	added ('OK')	image/jpeg	etag:%224b8581e2711b760f8fabf74be566fa53%22	https://tiimg.tistatic.com/catalogs/template108581/enquiry_bg.jpg	C:/Users/shiva/Desktop/paarajlife/tiimg.tistatic.com/catalogs/template108581/enquiry_bg.jpg	(from https://www.captalopharma.co.in/)
10:56:37	5695/5695	---M--	200	added ('OK')	image/png	etag:%221cfd07c69f9d955fc14f60e933bcd0c3%22	https://tiimg.tistatic.com/images/l/1/logo_137465.png	C:/Users/shiva/Desktop/paarajlife/tiimg.tistatic.com/images/l/1/logo_137465.png	(from https://www.captalopharma.co.in/)
10:56:38	395/395	---M--	200	added ('OK')	image/png	etag:%22c4a71086118771811a85c67b6931809d%22	https://tiimg.tistatic.com/catalogs/template140224/go.png	C:/Users/shiva/Desktop/paarajlife/tiimg.tistatic.com/catalogs/template140224/go.png	(from https://www.captalopharma.co.in/)
10:56:38	578/578	---M--	200	added ('OK')	image/png	etag:%221fd22b9f6c92f4c846c8aec471883056%22	https://tiimg.tistatic.com/catalogs/template140224/call2.png	C:/Users/shiva/Desktop/paarajlife/tiimg.tistatic.com/catalogs/template140224/call2.png	(from https://www.captalopharma.co.in/)
10:56:39	199340/199340	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:26:41%20GMT	https://www.captalopharma.co.in/company-profile.html	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/company-profile.html	(from https://www.captalopharma.co.in/)
10:56:41	242812/242812	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:26:42%20GMT	https://www.captalopharma.co.in/products.html	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/products.html	(from https://www.captalopharma.co.in/)
10:56:42	411450/411450	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:26:44%20GMT	https://www.captalopharma.co.in/pharmaceutical-suspension.html	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/pharmaceutical-suspension.html	(from https://www.captalopharma.co.in/)
10:56:43	469733/469733	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:26:45%20GMT	https://www.captalopharma.co.in/albendazole-suspension-8179246.html	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/albendazole-suspension-8179246.html	(from https://www.captalopharma.co.in/)
10:56:46	468858/468858	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:26:46%20GMT	https://www.captalopharma.co.in/cyproheptadine-syrup-8179247.html	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/cyproheptadine-syrup-8179247.html	(from https://www.captalopharma.co.in/)
10:56:49	468298/468298	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:26:50%20GMT	https://www.captalopharma.co.in/domperidone-suspension-8179248.html	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/domperidone-suspension-8179248.html	(from https://www.captalopharma.co.in/)
10:56:50	470921/470921	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:26:51%20GMT	https://www.captalopharma.co.in/60-ml-levocetirizine-hydrochloride-and-montelukast-suspension-8179249.html	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/60-ml-levocetirizine-hydrochloride-and-montelukast-suspension-8179249.html	(from https://www.captalopharma.co.in/)
10:56:51	470238/470238	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:26:52%20GMT	https://www.captalopharma.co.in/60-ml-pediatric-paracetamol-oral-suspension-ip-8179250.html	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/60-ml-pediatric-paracetamol-oral-suspension-ip-8179250.html	(from https://www.captalopharma.co.in/)
10:56:52	470337/470337	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:26:54%20GMT	https://www.captalopharma.co.in/100-ml-ambroxol-hydrochlorideterbutaline-sulphate-guaiphenesin-and-menthol-syrup-8179251.html	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/100-ml-ambroxol-hydrochlorideterbutaline-sulphate-guaiphenesin-and-menthol-syrup-8179251.html	(from https://www.captalopharma.co.in/)
10:56:53	468936/468936	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:26:55%20GMT	https://www.captalopharma.co.in/60-ml-bromhexine-hcl-terbutaline-sulphate-guaiphenesin-and-menthol-syrup-8179253.html	C:/Users/shiva/Desktop/paarajlife/www.captalopharma.co.in/60-ml-bromhexine-hcl-terbutaline-sulphate-guaiphenesin-and-menthol-syrup-8179253.html	(from https://www.captalopharma.co.in/)
